National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (711) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""West Virginia"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
540003000002,WV-0200000-02302,5400030,WV-0200000,05,08,BELINGTON MIDDLE SCHOOL,BARBOUR COUNTY BOARD OF EDUCATION,469 MORGANTOWN PIKE,BELINGTON,WV,26250,7711,(304)823-1281,†,No,Yes,Yes,271.00000,19.91000,13.6000000,–,–
540060000359,WV-3900000-39206,5400600,WV-3900000,PK,05,BELLE ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,401 E 6TH STREET,BELLE,WV,25015,,(304)949-2612,†,No,No,†,283.00000,18.50000,15.3000000,–,–
540111001265,WV-6700000-67201,5401110,WV-6700000,PK,04,BELMONT ELEMENTARY SCHOOL,PLEASANTS COUNTY SCHOOLS,512 RIVERVIEW DRIVE,BELMONT,WV,26134,,(304)299-5274,†,No,Yes,Yes,204.00000,16.60000,12.3000000,–,–
540060000361,WV-3900000-39701,5400600,WV-3900000,09,12,BEN FRANKLIN CAREER CENTER,KANAWHA COUNTY SCHOOLS,500 28TH STREET,DUNBAR,WV,25064,,(304)766-0369,†,No,No,†,–,26.00000,†,–,–
540006001222,WV-0400000-04203,5400060,WV-0400000,PK,03,BERKELEY HEIGHTS ELEMENTARY SCHOOL,BERKELEY COUNTY SCHOOLS,726 HACK WILSON WAY,MARTINSBURG,WV,25401,,(304)267-3520,†,No,Yes,Yes,665.00000,38.85000,17.1000000,–,–
540099000819,WV-5800000-58501,5400990,WV-5800000,09,12,BERKELEY SPRINGS HIGH SCHOOL,MORGAN COUNTY SCHOOLS,149 CONCORD AVENUE,BERKELEY SPRINGS,WV,25411,,(304)258-2871,†,No,No,†,653.00000,39.50000,16.5000000,–,–
540165001274,WV-9800000-98202,5401650,WV-9800000,PK,04,BERLIN MCKINNEY ELEMENTARY SCHOOL,WYOMING COUNTY SCHOOLS,HC 65 BOX 402,OCEANA,WV,24870,,(304)682-6481,†,No,Yes,Yes,334.00000,24.00000,13.9000000,–,–
540105000853,WV-6400000-64201,5401050,WV-6400000,PK,05,BETHLEHEM ELEMENTARY SCHOOL,OHIO COUNTY SCHOOLS,22 CHAPEL RD,WHEELING,WV,26003,4816,(304)243-0350,†,No,No,†,113.00000,8.50000,13.3000000,–,–
540126000992,WV-7500000-75201,5401260,WV-7500000,PK,05,BEVERLY ELEMENTARY SCHOOL,RANDOLPH COUNTY SCHOOLS,505 MAIN STREET,BEVERLY,WV,26253,,(304)636-9162,†,No,Yes,Yes,258.00000,18.00000,14.3000000,–,–
540051000586,WV-3300000-33231,5400510,WV-3300000,PK,05,BIG ELM ELEMENTARY SCHOOL,HARRISON COUNTY SCHOOLS,200 TETRICK RD,SHINNSTON,WV,26431,,(304)326-7280,†,No,Yes,Yes,623.00000,42.69000,14.6000000,–,–
540024001467,WV-1600000-16209,5400240,WV-1600000,PK,05,BIG OTTER ELEMENTARY SCHOOL,CLAY COUNTY SCHOOLS,59 OSSIA ROAD,IVYDALE,WV,25063,,(304)286-3111,†,No,Yes,Yes,208.00000,15.90000,13.1000000,–,–
540102000828,WV-6200000-62202,5401020,WV-6200000,PK,05,BIRCH RIVER ELEMENTARY SCHOOL,NICHOLAS COUNTY SCHOOLS,379 BIRCH RIVER ROAD,BIRCH RIVER,WV,26610,,(304)649-2651,†,No,Yes,Yes,86.00000,7.50000,11.5000000,–,–
540072000104,WV-4700000-47216,5400720,WV-4700000,PK,04,BLACKSHERE ELEMENTARY SCHOOL,MARION COUNTY SCHOOLS,77 BLACKSHERE DRIVE,MANNINGTON,WV,26582,9091,(304)986-2707,†,No,Yes,Yes,323.00000,27.00000,12.0000000,–,–
540162001142,WV-9600000-96201,5401620,WV-9600000,PK,05,BLENNERHASSETT ELEMENTARY SCHOOL,WOOD COUNTY SCHOOLS,448 JEWEL RD,PARKERSBURG,WV,26101,9545,(304)863-5128,†,No,No,†,497.00000,30.00000,16.6000000,–,–
540162001365,WV-9600000-96401,5401620,WV-9600000,06,08,BLENNERHASSETT MIDDLE SCHOOL,WOOD COUNTY SCHOOLS,444 JEWEL RD,PARKERSBURG,WV,26101,9545,(304)863-3356,†,No,No,†,476.00000,33.00000,14.4000000,–,–
540057000340,WV-3700000-37201,5400570,WV-3700000,PK,05,BLUE RIDGE ELEMENTARY SCHOOL,JEFFERSON COUNTY SCHOOLS,18866 CHARLES TOWN ROAD,HARPERS FERRY,WV,25425,5503,(304)725-2995,†,No,Yes,Yes,391.00000,27.00000,14.5000000,–,–
540084000674,WV-5100000-51502,5400840,WV-5100000,09,12,BLUEFIELD HIGH SCHOOL,MERCER COUNTY SCHOOLS,535 W. CUMBERLAND ROAD,BLUEFIELD,WV,24701,4654,(304)325-9116,†,No,No,†,599.00000,36.00000,16.6000000,–,–
540084001101,WV-5100000-51240,5400840,WV-5100000,03,05,BLUEFIELD INTERMEDIATE SCHOOL,MERCER COUNTY SCHOOLS,1301 SOUTHVIEW DRIVE,BLUEFIELD,WV,24701,4317,(304)327-8339,†,No,Yes,Yes,284.00000,25.00000,11.4000000,–,–
540084000737,WV-5100000-51301,5400840,WV-5100000,06,08,BLUEFIELD MIDDLE SCHOOL,MERCER COUNTY SCHOOLS,2002 STADIUM DRIVE,BLUEFIELD,WV,24701,3325,(304)325-2481,†,No,Yes,Yes,547.00000,37.50000,14.6000000,–,–
