National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (3531) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Ohio""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
390443405465,OH-044347-010004,3904434,OH-044347,PK,04,Anna Marie Ayers Elementary School,Martins Ferry City,5002 Ayers Lime Stone Rd,Martins,OH,43935,1588,(740)633-1732,No,–,Yes,Yes,547.00000,29.00000,18.9000000,–,–
391000404661,OH-049759-142331,3910004,OH-049759,06,08,Anna Middle School,Anna Local,1 McRill Way,Anna,OH,45302,5030,(937)394-4251,No,–,No,†,288.00000,13.00000,22.2000000,–,–
390450401948,OH-045047-061358,3904504,OH-045047,KG,05,Annehurst Elementary School,Westerville City,925 W Main St,Westerville,OH,43081,1226,(614)797-7000,No,–,Yes,Yes,404.00000,18.55000,21.8000000,–,–
390466202610,OH-046623-000760,3904662,OH-046623,PK,06,Ansonia Elementary School,Ansonia Local,PO Box 279,Ansonia,OH,45303,0279,(937)337-5141,No,–,Yes,No,483.00000,27.00000,17.9000000,–,–
390466202611,OH-046623-000778,3904662,OH-046623,09,12,Ansonia High School,Ansonia Local,PO Box 279,Ansonia,OH,45303,0279,(937)337-5591,No,–,No,†,212.00000,22.60000,9.4000000,–,–
390466202612,OH-046623-061572,3904662,OH-046623,07,08,Ansonia Middle School,Ansonia Local,PO Box 279,Ansonia,OH,45303,0279,(937)337-5591,No,–,No,†,109.00000,0.00000,†,–,–
390440000962,OH-044008-000802,3904400,OH-044008,01,06,Anthony Wayne Elementary School,Franklin City,16 Farm Ave,Franklin,OH,45005,2721,(937)743-8640,No,–,Yes,Yes,202.00000,13.00000,15.5000000,–,–
390482003144,OH-048207-000810,3904820,OH-048207,09,12,Anthony Wayne High School,Anthony Wayne Local,5967 Finzel Rd,Whitehouse,OH,43571,9661,(419)877-0466,No,–,No,†,1369.00000,51.00000,26.8000000,–,–
390482000849,OH-048207-125229,3904820,OH-048207,07,08,Anthony Wayne Junior High School,Anthony Wayne Local,6035 Finzel Rd,Whitehouse,OH,43571,9588,(419)877-5342,No,–,Yes,No,659.00000,32.00000,20.6000000,–,–
390437800420,OH-043786-000828,3904378,OH-043786,PK,09,Anton Grdina,Cleveland Municipal,2955 E 71st St,Cleveland,OH,44104,4101,(216)838-1150,No,–,Yes,Yes,332.00000,20.00000,16.6000000,–,–
